Team Name,Player Name,Role,Matches Played,Batting Average,Batting Strike Rate,Bowling Average,Bowling Economy,Bowling Strike Rate
Delhi Daredevils,Zaheer Khan,Bowler,89,8.69,88.28,26.83,7.56,21.29
Delhi Daredevils,Mayank Agarwal,Batsman,50,18.32,124.48,0,0,0
Delhi Daredevils,Sam Billings,Batsman,5,22,137.5,0,0,0
Delhi Daredevils,Carlos Brathwaite,Allrounder,8,13.83,218.42,27,8.15,19.85
Delhi Daredevils,Nathan CoulterNile,Bowler,18,6.33,100,23.38,7.49,18.71
Delhi Daredevils,Quinton de Kock,Batsman,26,29.04,132.24,0,0,0
Delhi Daredevils,JP Duminy,Allrounder,77,39.86,124.87,34.69,7.25,28.69
Delhi Daredevils,Imran Tahir,Bowler,20,4.5,78.26,21.48,8.61,14.96
Delhi Daredevils,Shreyas Iyer,Batsman,20,24.68,121.81,0,0,0
Delhi Daredevils,Amit Mishra,Bowler,112,10.39,93.56,23.53,7.27,19.4
Delhi Daredevils,Mohammed Shami,Bowler,31,2.2,40.74,46.83,8.85,31.72
Delhi Daredevils,Chris Morris,Allrounder,39,40.71,166.66,24.87,7.5,19.9
Delhi Daredevils,Shahbaz Nadeem,Bowler,48,2.66,39.34,38.7,7.14,32.51
Delhi Daredevils,Karun Nair,Batsman,41,26.57,127.84,0,0,0
Delhi Daredevils,Pawan Negi,Allrounder,29,17.41,129.81,42.21,8.2,30.85
Delhi Daredevils,Rishabh Pant,Batsman,10,24.75,130.26,0,0,0
Delhi Daredevils,Sanju Samson,Batsman,52,24.76,119.12,0,0,0
Delhi Daredevils,Pawan Suyal,Bowler,5,0,0,75.5,9.43,48
Delhi Daredevils,Jayant Yadav,Bowler,8,3,60,38.5,6.41,36
Delhi Daredevils,Average,,,17.76111111,112.955,35.29333333,7.821666667,26.82333333
,,,,,,,,
Mumbai Indians,Rohit Sharma,Batsman,142,33.68,131.72,29.33,7.95,22.13
Mumbai Indians,Corey Anderson,Allrounder,16,31.58,136.33,43.4,9.86,26.4
Mumbai Indians,Jasprit Bumrah,Bowler,31,9,64.28,36.96,8.45,26.23
Mumbai Indians,Jos Buttler,Batsman,14,23.18,138.58,0,0,0
Mumbai Indians,Unmukt Chand,Batsman,21,15,100,0,0,0
Mumbai Indians,Marchant de Lange,Bowler,5,1,50,33.8,9.38,21.6
Mumbai Indians,Shreyas Gopal,Bowler,6,7,51.85,22,8.03,16.42
Mumbai Indians,Harbhajan Singh,Allrounder,125,16.65,143.66,26.21,7,22.46
Mumbai Indians,Mitchell McClenaghan,Bowler,26,11.75,162.06,23.48,8.19,17.2
Mumbai Indians,Lasith Malinga,Bowler,98,5.06,84.37,17.8,6.67,16
Mumbai Indians,Hardik Pandya,Allrounder,20,13,124.8,82.25,9.77,50.5
