584,7,,,,,,
Team1,Team2,Venue,Home Team,Start Time,Toss winner,Toss winner's decision,Match Winner
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Team 1,8pm,Royal Challengers Bangalore,field,Kolkata Knight Riders
Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Team 1,4pm,Chennai Super Kings,bat,Chennai Super Kings
Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Team 1,8pm,Rajasthan Royals,bat,Delhi Daredevils
Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Team 1,4pm,Deccan Chargers,bat,Kolkata Knight Riders
Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Team 1,8pm,Mumbai Indians,bat,Royal Challengers Bangalore
Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Team 1,8pm,Kings XI Punjab,bat,Rajasthan Royals
Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Deccan Chargers,bat,Delhi Daredevils
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Mumbai Indians,field,Chennai Super Kings
Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Rajasthan Royals,field,Rajasthan Royals
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Mumbai Indians,field,Kings XI Punjab
Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Team 1,4pm,Kolkata Knight Riders,bat,Chennai Super Kings
Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Team 1,8pm,Rajasthan Royals,field,Rajasthan Royals
Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Team 1,4pm,Delhi Daredevils,bat,Kings XI Punjab
Mumbai Indians,Deccan Chargers,Dr DY Patil Sports Academy,Team 1,8pm,Deccan Chargers,field,Deccan Chargers
Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Team 1,8pm,Chennai Super Kings,bat,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Team 1,8pm,Kolkata Knight Riders,bat,Mumbai Indians
Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Team 1,8pm,Royal Challengers Bangalore,field,Delhi Daredevils
Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Team 1,4pm,Rajasthan Royals,bat,Rajasthan Royals
Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Kings XI Punjab,field,Kings XI Punjab
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Chennai Super Kings,bat,Delhi Daredevils
Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Team 1,4pm,Deccan Chargers,field,Royal Challengers Bangalore
Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Kings XI Punjab,bat,Kings XI Punjab
Mumbai Indians,Delhi Daredevils,Dr DY Patil Sports Academy,Team 1,4pm,Delhi Daredevils,field,Mumbai Indians
Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Team 1,8pm,Chennai Super Kings,bat,Rajasthan Royals
Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Team 1,8pm,Kings XI Punjab,field,Kings XI Punjab
Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Deccan Chargers,field,Deccan Chargers
Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,Team 1,8pm,Mumbai Indians,field,Mumbai Indians
Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Team 1,4pm,Chennai Super Kings,field,Chennai Super Kings
Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Team 1,8pm,Kolkata Knight Riders,bat,Kolkata Knight Riders
Rajasthan Royals,Deccan Chargers,Sawai Mansingh Stadium,Team 1,8pm,Rajasthan Royals,field,Rajasthan Royals
Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Kings XI Punjab,field,Chennai Super Kings
Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Team 1,4pm,Kolkata Knight Riders,bat,Kolkata Knight Riders
Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Team 1,8pm,Rajasthan Royals,field,Rajasthan Royals
Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Royal Challengers Bangalore,bat,Kings XI Punjab
Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Team 1,8pm,Kolkata Knight Riders,bat,Kolkata Knight Riders
Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Team 1,8pm,Mumbai Indians,field,Mumbai Indians
Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Team 1,8pm,Deccan Chargers,field,Delhi Daredevils
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Team 1,8pm,Mumbai Indians,field,Mumbai Indians
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Team 1,4pm,Royal Challengers Bangalore,field,Rajasthan Royals
Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Team 1,8pm,Delhi Daredevils,bat,Kings XI Punjab
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Team 1,4pm,Kolkata Knight Riders,bat,Chennai Super Kings
Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Deccan Chargers,field,Mumbai Indians
Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Team 1,8pm,Delhi Daredevils,field,Delhi Daredevils
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Team 1,8pm,Rajasthan Royals,field,Rajasthan Royals
Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Team 1,4pm,Mumbai Indians,field,Kings XI Punjab
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Team 1,8pm,NA,NA,NA
Kings XI Punjab,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Kings XI Punjab,field,Kings XI Punjab
Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Team 1,4pm,Rajasthan Royals,bat,Rajasthan Royals
Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Team 1,8pm,Delhi Daredevils,field,Delhi Daredevils
Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Team 1,4pm,Deccan Chargers,bat,Royal Challengers Bangalore
Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Team 1,8pm,Kings XI Punjab,bat,Kolkata Knight Riders
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Team 1,8pm,Rajasthan Royals,field,Rajasthan Royals
Deccan Chargers,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Deccan Chargers,bat,Chennai Super Kings
Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Team 1,4pm,Mumbai Indians,field,Mumbai Indians
Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Rajasthan Royals,field,Kings XI Punjab
Delhi Daredevils,Rajasthan Royals,Wankhede Stadium,NA,8pm,Delhi Daredevils,field,Rajasthan Royals
Chennai Super Kings,Kings XI Punjab,Wankhede Stadium,NA,8pm,Kings XI Punjab,bat,Chennai Super Kings
Chennai Super Kings,Rajasthan Royals,Dr DY Patil Sports Academy,NA,8pm,Rajasthan Royals,field,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Newlands,NA,4pm,Chennai Super Kings,field,Mumbai Indians
Royal Challengers Bangalore,Rajasthan Royals,Newlands,NA,8pm,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Delhi Daredevils,Kings XI Punjab,Newlands,NA,4pm,Delhi Daredevils,field,Delhi Daredevils
Deccan Chargers,Kolkata Knight Riders,Newlands,NA,8pm,Kolkata Knight Riders,bat,Deccan Chargers
Royal Challengers Bangalore,Chennai Super Kings,St George's Park,NA,8pm,Chennai Super Kings,bat,Chennai Super Kings
Kings XI Punjab,Kolkata Knight Riders,Kingsmead,NA,4pm,Kolkata Knight Riders,field,Kolkata Knight Riders
Mumbai Indians,Rajasthan Royals,Kingsmead,NA,8pm,NA,NA,NA
Royal Challengers Bangalore,Deccan Chargers,Newlands,NA,8pm,Deccan Chargers,bat,Deccan Chargers
Chennai Super Kings,Delhi Daredevils,Kingsmead,NA,4pm,Delhi Daredevils,bat,Delhi Daredevils
Kolkata Knight Riders,Rajasthan Royals,Newlands,NA,8pm,Kolkata Knight Riders,field,NA
Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,NA,8pm,Royal Challengers Bangalore,bat,Kings XI Punjab
Deccan Chargers,Mumbai Indians,Kingsmead,NA,4pm,Deccan Chargers,bat,Deccan Chargers
Chennai Super Kings,Kolkata Knight Riders,Newlands,NA,8pm,NA,NA,NA
Royal Challengers Bangalore,Delhi Daredevils,St George's Park,NA,4pm,Royal Challengers Bangalore,bat,Delhi Daredevils
Kings XI Punjab,Rajasthan Royals,Newlands,NA,8pm,Kings XI Punjab,bat,Kings XI Punjab
Chennai Super Kings,Deccan Chargers,Kingsmead,NA,4pm,Deccan Chargers,field,Deccan Chargers
Kolkata Knight Riders,Mumbai Indians,St George's Park,NA,8pm,Mumbai Indians,bat,Mumbai Indians
Delhi Daredevils,Rajasthan Royals,SuperSport Park,NA,8pm,Delhi Daredevils,bat,Rajasthan Royals
Royal Challengers Bangalore,Kolkata Knight Riders,Kingsmead,NA,4pm,Kolkata Knight Riders,bat,Royal Challengers Bangalore
Kings XI Punjab,Mumbai Indians,Kingsmead,NA,8pm,Kings XI Punjab,bat,Kings XI Punjab
Deccan Chargers,Delhi Daredevils,SuperSport Park,NA,4pm,Delhi Daredevils,field,Delhi Daredevils
Chennai Super Kings,Rajasthan Royals,SuperSport Park,NA,8pm,Rajasthan Royals,field,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,Buffalo Park,NA,4pm,Mumbai Indians,bat,Mumbai Indians
Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,NA,8pm,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Deccan Chargers,Rajasthan Royals,St George's Park,NA,4pm,Deccan Chargers,bat,Rajasthan Royals
Chennai Super Kings,Delhi Daredevils,New Wanderers Stadium,NA,8pm,Delhi Daredevils,field,Chennai Super Kings
Kings XI Punjab,Kolkata Knight Riders,St George's Park,NA,4pm,Kolkata Knight Riders,bat,Kings XI Punjab
Royal Challengers Bangalore,Mumbai Indians,New Wanderers Stadium,NA,8pm,Mumbai Indians,bat,Royal Challengers Bangalore
Chennai Super Kings,Deccan Chargers,Buffalo Park,NA,8pm,Chennai Super Kings,bat,Chennai Super Kings
Kings XI Punjab,Rajasthan Royals,Kingsmead,NA,4pm,Kings XI Punjab,field,Rajasthan Royals
Delhi Daredevils,Kolkata Knight Riders,Kingsmead,NA,8pm,Kolkata Knight Riders,bat,Delhi Daredevils
Deccan Chargers,Mumbai Indians,SuperSport Park,NA,8pm,Deccan Chargers,bat,Deccan Chargers
