572,8,,,,,,,
Did home team win the toss?,Did Home team bat first?,Home Team's Winning Rate,Away Team's Winning Rate,Home Team's Batting Average,Home team's Bowling Average,Away Team's Batting Average,Away team's Bowling Average,Did home team win the match?
Yes,No,0.496453901,0.5,22.72190476,36.27571429,16.89055556,32.23066667,No
No,No,0.462686567,0.590604027,20.0715,40.11307692,17.95388889,33.41571429,No
No,No,0.417910448,0.496296296,17.76111111,35.29333333,19.8525,27.09588235,Yes
No,No,0.5,0.456521739,16.89055556,32.23066667,20.02176471,32.011875,Yes
Yes,Yes,0.567375887,0.496453901,21.57333333,35.19266667,22.72190476,36.27571429,No
No,No,0.496296296,0.462686567,19.8525,27.09588235,20.0715,40.11307692,Yes
Yes,Yes,0.456521739,0.417910448,20.02176471,32.011875,17.76111111,35.29333333,No
No,Yes,0.590604027,0.567375887,17.95388889,33.41571429,21.57333333,35.19266667,Yes
No,Yes,0.456521739,0.496296296,20.02176471,32.011875,19.8525,27.09588235,No
No,Yes,0.462686567,0.567375887,20.0715,40.11307692,21.57333333,35.19266667,Yes
No,No,0.590604027,0.5,17.95388889,33.41571429,16.89055556,32.23066667,Yes
No,Yes,0.496453901,0.496296296,22.72190476,36.27571429,19.8525,27.09588235,No
No,No,0.462686567,0.417910448,20.0715,40.11307692,17.76111111,35.29333333,Yes
No,Yes,0.567375887,0.456521739,21.57333333,35.19266667,20.02176471,32.011875,No
No,No,0.496453901,0.590604027,22.72190476,36.27571429,17.95388889,33.41571429,No
Yes,Yes,0.5,0.567375887,16.89055556,32.23066667,21.57333333,35.19266667,No
No,Yes,0.417910448,0.496453901,17.76111111,35.29333333,22.72190476,36.27571429,Yes
Yes,Yes,0.496296296,0.5,19.8525,27.09588235,16.89055556,32.23066667,Yes
No,Yes,0.456521739,0.462686567,20.02176471,32.011875,20.0715,40.11307692,No
Yes,Yes,0.590604027,0.417910448,17.95388889,33.41571429,17.76111111,35.29333333,No
No,Yes,0.496453901,0.456521739,22.72190476,36.27571429,20.02176471,32.011875,Yes
Yes,Yes,0.462686567,0.5,20.0715,40.11307692,16.89055556,32.23066667,Yes
No,Yes,0.567375887,0.417910448,21.57333333,35.19266667,17.76111111,35.29333333,Yes
No,No,0.496296296,0.590604027,19.8525,27.09588235,17.95388889,33.41571429,Yes
No,Yes,0.496453901,0.462686567,22.72190476,36.27571429,20.0715,40.11307692,No
No,Yes,0.590604027,0.456521739,17.95388889,33.41571429,20.02176471,32.011875,No
Yes,No,0.567375887,0.496296296,21.57333333,35.19266667,19.8525,27.09588235,Yes
No,Yes,0.417910448,0.590604027,17.76111111,35.29333333,17.95388889,33.41571429,No
Yes,Yes,0.5,0.496453901,16.89055556,32.23066667,22.72190476,36.27571429,Yes
Yes,No,0.496296296,0.456521739,19.8525,27.09588235,20.02176471,32.011875,Yes
No,Yes,0.590604027,0.462686567,17.95388889,33.41571429,20.0715,40.11307692,Yes
No,No,0.456521739,0.5,20.02176471,32.011875,16.89055556,32.23066667,No
